cidade;comarca;regiao;populacao
AURIFLAMA;AURIFLAMA;SÃO JOSÉ DO RIO PRETO;14202
GUZOLÂNDIA;AURIFLAMA;SÃO JOSÉ DO RIO PRETO;4754
BARRETOS;BARRETOS;SÃO JOSÉ DO RIO PRETO;112101
COLÔMBIA;BARRETOS;SÃO JOSÉ DO RIO PRETO;5994
CARDOSO;CARDOSO;SÃO JOSÉ DO RIO PRETO;11805
MIRA ESTRELA;CARDOSO;SÃO JOSÉ DO RIO PRETO;2820
PONTES GESTAL;CARDOSO;SÃO JOSÉ DO RIO PRETO;2518
CATANDUVA;CATANDUVA;SÃO JOSÉ DO RIO PRETO;112820
ELISIÁRIO;CATANDUVA;SÃO JOSÉ DO RIO PRETO;3120
IBIRÁ;CATANDUVA;SÃO JOSÉ DO RIO PRETO;10896
PINDORAMA;CATANDUVA;SÃO JOSÉ DO RIO PRETO;15039
COLINA;COLINA;SÃO JOSÉ DO RIO PRETO;17371
JABORANDI;COLINA;SÃO JOSÉ DO RIO PRETO;6592
DOLCINÓPOLIS;ESTRELA D’OESTE;SÃO JOSÉ DO RIO PRETO;2096
POPULINA;ESTRELA D’OESTE;SÃO JOSÉ DO RIO PRETO;4223
SÃO JOÃO DAS DUAS PONTES;ESTRELA D’OESTE;SÃO JOSÉ DO RIO PRETO;2566
TURMALINA;ESTRELA D’OESTE;SÃO JOSÉ DO RIO PRETO;1978
ESTRELA D'OESTE;ESTRELA D'OESTE;SÃO JOSÉ DO RIO PRETO;8208
FERNANDÓPOLIS;FERNANDÓPOLIS;SÃO JOSÉ DO RIO PRETO;64696
MACEDÔNIA;FERNANDÓPOLIS;SÃO JOSÉ DO RIO PRETO;3664
MERIDIANO;FERNANDÓPOLIS;SÃO JOSÉ DO RIO PRETO;3855
PEDRANÓPOLIS;FERNANDÓPOLIS;SÃO JOSÉ DO RIO PRETO;2558
GENERAL SALGADO;GENERAL SALGADO;SÃO JOSÉ DO RIO PRETO;10669
NOVA CASTILHO;GENERAL SALGADO;SÃO JOSÉ DO RIO PRETO;1125
SÃO JOÃO DE IRACEMA;GENERAL SALGADO;SÃO JOSÉ DO RIO PRETO;1780
GUAÍRA;GUAÍRA;SÃO JOSÉ DO RIO PRETO;37404
ITAJOBI;ITAJOBI;SÃO JOSÉ DO RIO PRETO;14556
MARAPOAMA;ITAJOBI;SÃO JOSÉ DO RIO PRETO;2633
DIRCE REIS;JALES;SÃO JOSÉ DO RIO PRETO;1689
JALES;JALES;SÃO JOSÉ DO RIO PRETO;47012
MESÓPOLIS;JALES;SÃO JOSÉ DO RIO PRETO;1886
PARANAPUÃ;JALES;SÃO JOSÉ DO RIO PRETO;3815
PONTALINDA;JALES;SÃO JOSÉ DO RIO PRETO;4074
SANTA ALBERTINA;JALES;SÃO JOSÉ DO RIO PRETO;5723
VITÓRIA BRASIL;JALES;SÃO JOSÉ DO RIO PRETO;1737
ADOLFO;JOSÉ BONIFÁCIO;SÃO JOSÉ DO RIO PRETO;3557
JOSÉ BONIFÁCIO;JOSÉ BONIFÁCIO;SÃO JOSÉ DO RIO PRETO;32763
MENDONÇA;JOSÉ BONIFÁCIO;SÃO JOSÉ DO RIO PRETO;4640
UBARANA;JOSÉ BONIFÁCIO;SÃO JOSÉ DO RIO PRETO;5289
MACAUBAL;MACAUBAL;SÃO JOSÉ DO RIO PRETO;7663
SEBASTIANÓPOLIS DO SUL;MACAUBAL;SÃO JOSÉ DO RIO PRETO;3031
UNIÃO PAULISTA;MACAUBAL;SÃO JOSÉ DO RIO PRETO;1599
BÁLSAMO;MIRASSOL;SÃO JOSÉ DO RIO PRETO;8160
JACI;MIRASSOL;SÃO JOSÉ DO RIO PRETO;5657
MIRASSOL;MIRASSOL;SÃO JOSÉ DO RIO PRETO;53792
MIRASSOLÂNDIA;MIRASSOL;SÃO JOSÉ DO RIO PRETO;4295
MONTE APRAZÍVEL;MONTE APRAZÍVEL;SÃO JOSÉ DO RIO PRETO;21746
NIPOÃ;MONTE APRAZÍVEL;SÃO JOSÉ DO RIO PRETO;4274
POLONI;MONTE APRAZÍVEL;SÃO JOSÉ DO RIO PRETO;5395
MONTE AZUL PAULISTA;MONTE AZUL PAULISTA;SÃO JOSÉ DO RIO PRETO;18931
PARAÍSO;MONTE AZUL PAULISTA;SÃO JOSÉ DO RIO PRETO;5898
NEVES PAULISTA;NEVES PAULISTA;SÃO JOSÉ DO RIO PRETO;8772
FLOREAL;NHANDEARA;SÃO JOSÉ DO RIO PRETO;3003
GASTÃO VIDIGAL;NHANDEARA;SÃO JOSÉ DO RIO PRETO;4193
MAGDA;NHANDEARA;SÃO JOSÉ DO RIO PRETO;3200
MONÇÕES;NHANDEARA;SÃO JOSÉ DO RIO PRETO;2132
NHANDEARA;NHANDEARA;SÃO JOSÉ DO RIO PRETO;10725
NOVA LUZITÂNIA;NHANDEARA;SÃO JOSÉ DO RIO PRETO;3441
ICéM;NOVA GRANADA;SÃO JOSÉ DO RIO PRETO;7462
NOVA GRANADA;NOVA GRANADA;SÃO JOSÉ DO RIO PRETO;19180
ONDA VERDE;NOVA GRANADA;SÃO JOSÉ DO RIO PRETO;3884
NOVO HORIZONTE;NOVO HORIZONTE;SÃO JOSÉ DO RIO PRETO;36593
ALTAIR;OLÍMPIA;SÃO JOSÉ DO RIO PRETO;3815
CAJOBI;OLÍMPIA;SÃO JOSÉ DO RIO PRETO;9768
EMBAÚBA;OLÍMPIA;SÃO JOSÉ DO RIO PRETO;2423
GUARACI;OLÍMPIA;SÃO JOSÉ DO RIO PRETO;9976
OLÍMPIA;OLÍMPIA;SÃO JOSÉ DO RIO PRETO;50024
SEVERÍNIA;OLÍMPIA;SÃO JOSÉ DO RIO PRETO;15501
OUROESTE;OUROESTE;SÃO JOSÉ DO RIO PRETO;8405
GUARANI D'OESTE;OUROESTE;SÃO JOSÉ DO RIO PRETO;1970
INDIAPORÃ;OUROESTE;SÃO JOSÉ DO RIO PRETO;3903
PALESTINA;PALESTINA;SÃO JOSÉ DO RIO PRETO;11051
MARINÓPOLIS;PALMEIRA D’OESTE;SÃO JOSÉ DO RIO PRETO;2113
SÃO FRANCISCO;PALMEIRA D’OESTE;SÃO JOSÉ DO RIO PRETO;2793
APARECIDA D'OESTE;PALMEIRA D'OESTE;SÃO JOSÉ DO RIO PRETO;4450
PALMEIRA D'OESTE;PALMEIRA D'OESTE;SÃO JOSÉ DO RIO PRETO;9584
ORINDIÚVA;PAULO DE FARIA;SÃO JOSÉ DO RIO PRETO;5675
PAULO DE FARIA;PAULO DE FARIA;SÃO JOSÉ DO RIO PRETO;8589
RIOLÂNDIA;PAULO DE FARIA;SÃO JOSÉ DO RIO PRETO;10575
POTIRENDABA;POTIRENDABA;SÃO JOSÉ DO RIO PRETO;15449
NOVA ALIANÇA;POTIRENDABA;SÃO JOSÉ DO RIO PRETO;5891
ARIRANHA;SANTA ADÉLIA;SÃO JOSÉ DO RIO PRETO;8547
PALMARES PAULISTA;SANTA ADÉLIA;SÃO JOSÉ DO RIO PRETO;10934
SANTA ADÉLIA;SANTA ADÉLIA;SÃO JOSÉ DO RIO PRETO;14333
NOVA CANAÃ PAULISTA;SANTA FÉ DO SUL;SÃO JOSÉ DO RIO PRETO;2114
RUBINÉIA;SANTA FÉ DO SUL;SÃO JOSÉ DO RIO PRETO;2862
SANTA CLARA D'OESTE;SANTA FÉ DO SUL;SÃO JOSÉ DO RIO PRETO;2084
SANTA FÉ DO SUL;SANTA FÉ DO SUL;SÃO JOSÉ DO RIO PRETO;29239
SANTA RITA D'OESTE;SANTA FÉ DO SUL;SÃO JOSÉ DO RIO PRETO;2543
SANTANA DA PONTE PENSA;SANTA FÉ DO SUL;SÃO JOSÉ DO RIO PRETO;1641
TRÊS FRONTEIRAS;SANTA FÉ DO SUL;SÃO JOSÉ DO RIO PRETO;5427
BADY BASSITT;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;14603
CEDRAL;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;7972
GUAPIAÇU;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;17869
IPIGUÁ;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;4463
SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;408258
UCHoA;SÃO JOSÉ DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;9471
CATIGUÁ;TABAPUÃ;SÃO JOSÉ DO RIO PRETO;7127
NOVAIS;TABAPUÃ;SÃO JOSÉ DO RIO PRETO;4592
TABAPUÃ;TABAPUÃ;SÃO JOSÉ DO RIO PRETO;11363
AMÉRICO DE CAMPOS;TANABI;SÃO JOSÉ DO RIO PRETO;5706
COSMORAMA;TANABI;SÃO JOSÉ DO RIO PRETO;7214
TANABI;TANABI;SÃO JOSÉ DO RIO PRETO;24055
ASPÁSIA;URÂNIA;SÃO JOSÉ DO RIO PRETO;1809
SANTA SALETE;URÂNIA;SÃO JOSÉ DO RIO PRETO;1447
URÂNIA;URÂNIA;SÃO JOSÉ DO RIO PRETO;8836
IRAPUÃ;URUPÊS;SÃO JOSÉ DO RIO PRETO;7275
SALES;URUPÊS;SÃO JOSÉ DO RIO PRETO;5451
URUPÊS;URUPÊS;SÃO JOSÉ DO RIO PRETO;12714
ÁLVARES FLORENCE;VOTUPORANGA;SÃO JOSÉ DO RIO PRETO;3897
PARISI;VOTUPORANGA;SÃO JOSÉ DO RIO PRETO;2032
VALENTIM GENTIL;VOTUPORANGA;SÃO JOSÉ DO RIO PRETO;11036
VOTUPORANGA;VOTUPORANGA;SÃO JOSÉ DO RIO PRETO;84692
AGUDOS;AGUDOS;BAURU;34524
PAULISTÂNIA;AGUDOS;BAURU;1779
ARANDU;AVARÉ;BAURU;6123
AVARÉ;AVARÉ;BAURU;82934
BARIRI;BARIRI;BAURU;31593
ITAJU;BARIRI;BAURU;3246
BARRA BONITA;BARRA BONITA;BAURU;35246
IGARAÇU DO TIETÊ;BARRA BONITA;BAURU;23362
AREALVA;BAURU;BAURU;7841
AVAÍ;BAURU;BAURU;4959
BAURU;BAURU;BAURU;343937
BORBOREMA;BORBOREMA;BAURU;14529
BOTUCATU;BOTUCATU;BAURU;127328
PARDINHO;BOTUCATU;BAURU;5582
ÁGUAS DE SANTA BáRBARA;CERQUEIRA CÉSAR;BAURU;5601
CERQUEIRA CÉSAR;CERQUEIRA CÉSAR;BAURU;17532
IARAS;CERQUEIRA CÉSAR;BAURU;6376
CANITAR;CHAVANTES;BAURU;4369
CHAVANTES;CHAVANTES;BAURU;12114
DOIS CÓRREGOS;DOIS CÓRREGOS;BAURU;24761
CABRÁLIA PAULISTA;DUARTINA;BAURU;4365
DUARTINA;DUARTINA;BAURU;12251
LUCIANÓPOLIS;DUARTINA;BAURU;2249
UBIRAJARA;DUARTINA;BAURU;4427
FARTURA;FARTURA;BAURU;15320
TAGUAÍ;FARTURA;BAURU;10828
FERNÃO;GÁLIA;BAURU;1563
GÁLIA;GÁLIA;BAURU;7011
ÁLVARO DE CARVALHO;GARÇA;BAURU;4650
ALVINLÂNDIA;GARÇA;BAURU;3000
GARÇA;GARÇA;BAURU;43115
LUPÉRCIO;GARÇA;BAURU;4353
IACANGA;IBITINGA;BAURU;10013
IBITINGA;IBITINGA;BAURU;53158
TABATINGA;IBITINGA;BAURU;14686
IPAUSSU;IPAUSSU;BAURU;13663
BERNARDINO DE CAMPOS;IPAUSSU;BAURU;10775
ITAÍ;ITAÍ;BAURU;24008
ITÁPOLIS;ITÁPOLIS;BAURU;40051
ITATINGA;ITATINGA;BAURU;18052
BOCAINA;JAÚ;BAURU;10859
ITAPUÍ;JAÚ;BAURU;12173
JAÚ;JAÚ;BAURU;131040
MINEIROS DO TIETÊ;JAÚ;BAURU;12038
BOREBI;LENÇÓIS PAULISTA;BAURU;2293
LENÇÓIS PAULISTA;LENÇÓIS PAULISTA;BAURU;61428
MACATUBA;MACATUBA;BAURU;16259
MARÍLIA;MARÍLIA;BAURU;216745
OCAUÇU;MARÍLIA;BAURU;4163
VERA CRUZ;MARÍLIA;BAURU;10769
OURINHOS;OURINHOS;BAURU;103035
RIBEIRÃO DO SUL;OURINHOS;BAURU;4446
SALTO GRANDE;OURINHOS;BAURU;8787
CAMPOS NOVOS PAULISTA;PALMITAL;BAURU;4539
IBIRAREMA;PALMITAL;BAURU;6725
PALMITAL;PALMITAL;BAURU;21186
PLATINA;PALMITAL;BAURU;3192
PARANAPANEMA;PARANAPANEMA;BAURU;17808
BORACÉIA;PEDERNEIRAS;BAURU;4268
PEDERNEIRAS;PEDERNEIRAS;BAURU;41497
MANDURI;PIRAJU;BAURU;8992
ÓLEO;PIRAJU;BAURU;2673
PIRAJU;PIRAJU;BAURU;28475
SARUTAIÁ;PIRAJU;BAURU;3622
TEJUPÁ;PIRAJU;BAURU;4809
TIMBURI;PIRAJU;BAURU;2646
BALBINOS;PIRAJUÍ;BAURU;3702
PIRAJUÍ;PIRAJUÍ;BAURU;22704
PONGAÍ;PIRAJUÍ;BAURU;3481
PRESIDENTE ALVES;PIRAJUÍ;BAURU;4123
REGINÓPOLIS;PIRAJUÍ;BAURU;7323
URU;PIRAJUÍ;BAURU;1251
PIRATININGA;PIRATININGA;BAURU;12072
ORIENTE;POMPÉIA;BAURU;6097
POMPÉIA;POMPÉIA;BAURU;19964
QUINTANA;POMPÉIA;BAURU;6004
JOÃO RAMALHO;QUATÁ;BAURU;4150
QUATÁ;QUATÁ;BAURU;12799
ESPÍRITO SANTO DO TURVO;SANTA CRUZ DO RIO PARDO;BAURU;4244
SANTA CRUZ DO RIO PARDO;SANTA CRUZ DO RIO PARDO;BAURU;43921
SÃO PEDRO DO TURVO;SANTA CRUZ DO RIO PARDO;BAURU;7198
AREIÓPOLIS;SÃO MANUEL;BAURU;10579
PRATÂNIA;SÃO MANUEL;BAURU;4599
SÃO MANUEL;SÃO MANUEL;BAURU;38342
CORONEL MACEDO;TAQUARITUBA;BAURU;5001
TAQUARITUBA;TAQUARITUBA;BAURU;22291
ADAMANTINA;ADAMANTINA;PRESIDENTE PRUDENTE;33797
MARIÁPOLIS;ADAMANTINA;PRESIDENTE PRUDENTE;3916
ASSIS;ASSIS;PRESIDENTE PRUDENTE;95144
ECHAPORÃ;ASSIS;PRESIDENTE PRUDENTE;6318
FLORÍNIA;ASSIS;PRESIDENTE PRUDENTE;2829
TARUMÃ;ASSIS;PRESIDENTE PRUDENTE;12885
BASTOS;BASTOS;PRESIDENTE PRUDENTE;20445
IACRI;BASTOS;PRESIDENTE PRUDENTE;6419
CÂNDIDO MOTA;CÂNDIDO MOTA;PRESIDENTE PRUDENTE;29884
DRACENA;DRACENA;PRESIDENTE PRUDENTE;43258
OURO VERDE;DRACENA;PRESIDENTE PRUDENTE;7800
FLÓRIDA PAULISTA;FLÓRIDA PAULISTA;PRESIDENTE PRUDENTE;12848
IEPÊ;IEPÊ;PRESIDENTE PRUDENTE;7628
NANTES;IEPÊ;PRESIDENTE PRUDENTE;2707
JUNQUEIRÓPOLIS;JUNQUEIRÓPOLIS;PRESIDENTE PRUDENTE;18726
INÚBIA PAULISTA;LUCÉLIA;PRESIDENTE PRUDENTE;3630
LUCÉLIA;LUCÉLIA;PRESIDENTE PRUDENTE;19882
PRACINHA;LUCÉLIA;PRESIDENTE PRUDENTE;2858
CRUZÁLIA;MARACAÍ;PRESIDENTE PRUDENTE;2274
MARACAÍ;MARACAÍ;PRESIDENTE PRUDENTE;13332
PEDRINHAS PAULISTA;MARACAÍ;PRESIDENTE PRUDENTE;2940
INDIANA;MARTINÓPOLIS;PRESIDENTE PRUDENTE;4825
MARTINÓPOLIS;MARTINÓPOLIS;PRESIDENTE PRUDENTE;24219
MIRANTE DO PARANAPANEMA;MIRANTE DO PARANAPANEMA;PRESIDENTE PRUDENTE;17059
OSVALDO CRUZ;OSVALDO CRUZ;PRESIDENTE PRUDENTE;30917
PARAPUÃ;OSVALDO CRUZ;PRESIDENTE PRUDENTE;10844
SAGRES;OSVALDO CRUZ;PRESIDENTE PRUDENTE;2395
SALMOURÃO;OSVALDO CRUZ;PRESIDENTE PRUDENTE;4818
FLORA RICA;PACAEMBU;PRESIDENTE PRUDENTE;1752
IRAPURU;PACAEMBU;PRESIDENTE PRUDENTE;7789
PACAEMBU;PACAEMBU;PRESIDENTE PRUDENTE;13226
PANORAMA;PANORAMA;PRESIDENTE PRUDENTE;14583
PAULICÉIA;PANORAMA;PRESIDENTE PRUDENTE;6339
SANTA MERCEDES;PANORAMA;PRESIDENTE PRUDENTE;2831
BORÁ;PARAGUAÇU PAULISTA;PRESIDENTE PRUDENTE;805
LUTÉCIA;PARAGUAÇU PAULISTA;PRESIDENTE PRUDENTE;2714
OSCAR BRESSANE;PARAGUAÇU PAULISTA;PRESIDENTE PRUDENTE;2537
PARAGUAÇU PAULISTA;PARAGUAÇU PAULISTA;PRESIDENTE PRUDENTE;42278
ESTRELA DO NORTE;PIRAPOZINHO;PRESIDENTE PRUDENTE;2658
NARANDIBA;PIRAPOZINHO;PRESIDENTE PRUDENTE;4288
PIRAPOZINHO;PIRAPOZINHO;PRESIDENTE PRUDENTE;24694
SANDOVALINA;PIRAPOZINHO;PRESIDENTE PRUDENTE;3699
TARABAi;PIRAPOZINHO;PRESIDENTE PRUDENTE;6607
EMILIANÓPOLIS;PRESIDENTE BERNARDES;PRESIDENTE PRUDENTE;3020
PRESIDENTE BERNARDES;PRESIDENTE BERNARDES;PRESIDENTE PRUDENTE;13570
CAIUÁ;PRESIDENTE EPITÁCIO;PRESIDENTE PRUDENTE;5039
PRESIDENTE EPITÁCIO;PRESIDENTE EPITÁCIO;PRESIDENTE PRUDENTE;41318
ALFREDO MARCONDES;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;3891
ÁLVARES MACHADO;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;23513
ANHUMAS;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;3738
PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;207610
SANTO EXPEDITO;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;2803
MARABÁ PAULISTA;PRESIDENTE VENCESLAU;PRESIDENTE PRUDENTE;4812
PRESIDENTE VENCESLAU;PRESIDENTE VENCESLAU;PRESIDENTE PRUDENTE;37910
RANCHARIA;RANCHARIA;PRESIDENTE PRUDENTE;28804
CAIABU;REGENTE FEIJÓ;PRESIDENTE PRUDENTE;4072
REGENTE FEIJÓ;REGENTE FEIJÓ;PRESIDENTE PRUDENTE;18494
TACIBA;REGENTE FEIJÓ;PRESIDENTE PRUDENTE;5714
ROSANA;ROSANA;PRESIDENTE PRUDENTE;19691
PIQUEROBI;SANTO ANASTÁCIO;PRESIDENTE PRUDENTE;3537
RIBEIRÃO DOS ÍNDIOS;SANTO ANASTÁCIO;PRESIDENTE PRUDENTE;2187
SANTO ANASTÁCIO;SANTO ANASTÁCIO;PRESIDENTE PRUDENTE;20475
EUCLIDES DA CUNHA PAULISTA;TEODORO SAMPAIO;PRESIDENTE PRUDENTE;9585
TEODORO SAMPAIO;TEODORO SAMPAIO;PRESIDENTE PRUDENTE;21386
ARCO-ÍRIS;TUPÃ;PRESIDENTE PRUDENTE;1925
HERCULÂNDIA;TUPÃ;PRESIDENTE PRUDENTE;8696
QUEIROZ;TUPÃ;PRESIDENTE PRUDENTE;2808
RINÓPOLIS;TUPÃ;PRESIDENTE PRUDENTE;9935
TUPÃ;TUPÃ;PRESIDENTE PRUDENTE;63476
MONTE CASTELO;TUPI PAULISTA;PRESIDENTE PRUDENTE;4063
NOVA GUATAPORANGA;TUPI PAULISTA;PRESIDENTE PRUDENTE;2177
SÃO JOÃO DO PAU D'ALHO;TUPI PAULISTA;PRESIDENTE PRUDENTE;2103
TUPI PAULISTA;TUPI PAULISTA;PRESIDENTE PRUDENTE;14269
AGUAÍ;AGUAÍ;CAMPINAS;32148
ÁGUAS DE LINDÓIA;ÁGUAS DE LINDÓIA;CAMPINAS;17266
LINDÓIA;ÁGUAS DE LINDÓIA;CAMPINAS;6712
ALTINÓPOLIS;ALTINÓPOLIS;FRANCA;15607
SANTO ANTôNIO DA ALEGRIA;ALTINÓPOLIS;FRANCA;6304
AMERICANA;AMERICANA;PIRACICABA;210638
AMÉRICO BRASILIENSE;AMÉRICO BRASILIENSE;RIBEIRÃO PRETO;34478
MOTUCA;AMÉRICO BRASILIENSE;RIBEIRÃO PRETO;4290
RINCÃO;AMÉRICO BRASILIENSE;RIBEIRÃO PRETO;10414
SANTA LÚCIA;AMÉRICO BRASILIENSE;RIBEIRÃO PRETO;8248
AMPARO;AMPARO;CAMPINAS;65829
MONTE ALEGRE DO SUL;AMPARO;CAMPINAS;7152
ANDRADINA;ANDRADINA;ARAÇATUBA;55334
CASTILHO;ANDRADINA;ARAÇATUBA;18003
MURUTINGA DO SUL;ANDRADINA;ARAÇATUBA;4186
NOVA INDEPENDÊNCIA;ANDRADINA;ARAÇATUBA;3068
ANGATUBA;ANGATUBA;SOROCABA;22210
CAMPINA DO MONTE ALEGRE;ANGATUBA;SOROCABA;5567
APARECIDA;APARECIDA;TAUBATÉ;35007
POTIM;APARECIDA;TAUBATÉ;19397
APIAÍ;APIAÍ;SOROCABA;25191
BARRA DO CHAPÉU;APIAÍ;SOROCABA;5244
ITAÓCA;APIAÍ;SOROCABA;3228
ITAPIRAPUÃ PAULISTA;APIAÍ;SOROCABA;3880
RIBEIRA;APIAÍ;SOROCABA;3358
ARAÇATUBA;ARAÇATUBA;ARAÇATUBA;181579
SANTO ANTôNIO DO ARACANGUÁ;ARAÇATUBA;ARAÇATUBA;7626
ARARAQUARA;ARARAQUARA;RIBEIRÃO PRETO;208662
GAVIÃO PEIXOTO;ARARAQUARA;RIBEIRÃO PRETO;4419
NOVA EUROPA;ARARAQUARA;RIBEIRÃO PRETO;9300
ARARAS;ARARAS;PIRACICABA;118843
ARTUR NOGUEIRA;ARTUR NOGUEIRA;CAMPINAS;44177
ENGENHEIRO COELHO;ARTUR NOGUEIRA;CAMPINAS;15721
HOLAMBRA;ARTUR NOGUEIRA;CAMPINAS;11299
ARUJÁ;ARUJÁ;GRANDE SÃO PAULO;74905
ATIBAIA;ATIBAIA;CAMPINAS;126603
ARAPEÍ;BANANAL;TAUBATÉ;2493
BANANAL;BANANAL;TAUBATÉ;10223
SÃO JOSÉ DO BARREIRO;BANANAL;TAUBATÉ;4077
BARUERI;BARUERI;GRANDE SÃO PAULO;240749
PIRAPORA DO BOM JESUS;BARUERI;GRANDE SÃO PAULO;15733
BATATAIS;BATATAIS;FRANCA;56476
BEBEDOURO;BEBEDOURO;RIBEIRÃO PRETO;75035
BERTIOGA;BERTIOGA;SANTOS;47645
BILAC;BILAC;ARAÇATUBA;7048
GABRIEL MONTEIRO;BILAC;ARAÇATUBA;2708
PIACATU;BILAC;ARAÇATUBA;5287
BIRIGUI;BIRIGUI;ARAÇATUBA;108728
BREJO ALEGRE;BIRIGUI;ARAÇATUBA;2573
CLEMENTINA;BIRIGUI;ARAÇATUBA;7065
COROADOS;BIRIGUI;ARAÇATUBA;5238
SANTÓPOLIS DO AGUAPEÍ;BIRIGUI;ARAÇATUBA;4277
BOITUVA;BOITUVA;SOROCABA;48314
IPERÓ;BOITUVA;SOROCABA;28300
BRAGANÇA PAULISTA;BRAGANÇA PAULISTA;CAMPINAS;146744
PEDRA BELA;BRAGANÇA PAULISTA;CAMPINAS;5780
TUIUTI;BRAGANÇA PAULISTA;CAMPINAS;5930
VARGEM;BRAGANÇA PAULISTA;CAMPINAS;8801
BRODOWSKI;BRODOWSKI;RIBEIRÃO PRETO;21107
BROTAS;BROTAS;PIRACICABA;21580
TORRINHA;BROTAS;PIRACICABA;9330
BURI;BURI;SOROCABA;18563
BURITAMA;BURITAMA;ARAÇATUBA;15418
LOURDES;BURITAMA;ARAÇATUBA;2128
PLANALTO;BURITAMA;ARAÇATUBA;4463
TURIÚBA;BURITAMA;ARAÇATUBA;1930
ZACARIAS;BURITAMA;ARAÇATUBA;2335
CABREÚVA;CABREÚVA;SOROCABA;41604
CAÇAPAVA;CAÇAPAVA;TAUBATÉ;84752
JAMBEIRO;CAÇAPAVA;TAUBATÉ;5349
CACHOEIRA PAULISTA;CACHOEIRA PAULISTA;TAUBATÉ;30091
SILVEIRAS;CACHOEIRA PAULISTA;TAUBATÉ;5792
CACONDE;CACONDE;RIBEIRÃO PRETO;18538
TAPIRATIBA;CACONDE;RIBEIRÃO PRETO;12737
CAFELÂNDIA;CAFELÂNDIA;ARAÇATUBA;16607
GUARANTÃ;CAFELÂNDIA;ARAÇATUBA;6404
JÚLIO MESQUITA;CAFELÂNDIA;ARAÇATUBA;4430
CAIEIRAS;CAIEIRAS;GRANDE SÃO PAULO;86529
CAJAMAR;CAJAMAR;GRANDE SÃO PAULO;64114
CAJURU;CAJURU;RIBEIRÃO PRETO;23371
CÁSSIA DOS COQUEIROS;CAJURU;RIBEIRÃO PRETO;2634
SANTA CRUZ DA ESPERANÇA;CAJURU;RIBEIRÃO PRETO;1953
CAMPINAS;CAMPINAS;CAMPINAS;1080113
CAMPO LIMPO PAULISTA;CAMPO LIMPO PAULISTA;GRANDE SÃO PAULO;74074
CAMPOS DO JORDÃO;CAMPOS DO JORDÃO;TAUBATÉ;47789
CANANÉIA;CANANÉIA;VALE DO RIBEIRA;12226
CAPÃO BONITO;CAPÃO BONITO;SOROCABA;46178
GUAPIARA;CAPÃO BONITO;SOROCABA;17998
RIBEIRÃO GRANDE;CAPÃO BONITO;SOROCABA;7422
CAPIVARI;CAPIVARI;PIRACICABA;48576
MOMBUCA;CAPIVARI;PIRACICABA;3266
RAFARD;CAPIVARI;PIRACICABA;8612
CARAGUATATUBA;CARAGUATATUBA;TAUBATÉ;100840
CARAPICUÍBA;CARAPICUÍBA;GRANDE SÃO PAULO;369584
CASA BRANCA;CASA BRANCA;RIBEIRÃO PRETO;28307
ITOBI;CASA BRANCA;RIBEIRÃO PRETO;7546
CERQUILHO;CERQUILHO;PIRACICABA;39617
CONCHAL;CONCHAL;CAMPINAS;25229
ANHEMBI;CONCHAS;PIRACICABA;5653
CONCHAS;CONCHAS;PIRACICABA;16288
PEREIRAS;CONCHAS;PIRACICABA;7454
CORDEIRÓPOLIS;CORDEIRÓPOLIS;PIRACICABA;21080
COSMÓPOLIS;COSMÓPOLIS;CAMPINAS;58827
COTIA;COTIA;GRANDE SÃO PAULO;201150
CRAVINHOS;CRAVINHOS;RIBEIRÃO PRETO;31691
SERRA AZUL;CRAVINHOS;RIBEIRÃO PRETO;11256
